
City,City ID,Bounce Rate,Users
Canberra,1000142,100.00%,1
Sydney,1000286,100.00%,3
Brisbane,1000339,100.00%,1
Burnaby,1001873,100.00%,1
Coquitlam,1001885,100.00%,1
Port Coquitlam,1001938,100.00%,1
Surrey,1001964,100.00%,1
Moncton,1002061,100.00%,1
Longueuil,1002585,100.00%,1
Geneva,1002992,100.00%,1
Winterthur,1003293,100.00%,1
Putian,1003455,100.00%,1
Zhengzhou,1003511,100.00%,1
Prague,1003803,100.00%,1
Munich,1004234,100.00%,1
Dreieich,1004355,100.00%,1
Frankfurt,1004363,100.00%,1
Paderborn,1004715,100.00%,1
Worms,1004840,100.00%,1
Quedlinburg,1004962,100.00%,1
Cambridge,1006598,100.00%,1
Antrim,1007270,100.00%,1
Bengaluru,1007768,100.00%,2
Mumbai,1007785,100.00%,1
Tel Aviv-Yafo,1008006,100.00%,1
Venice,1008966,100.00%,2
Yokohama,1009343,100.00%,1
Incheon,1009846,100.00%,1
Kuala Lumpur,1010274,100.00%,2
Utrecht,1010659,100.00%,1
Naaldwijk,1010735,100.00%,1
Porto,1011759,100.00%,1
Bucharest,1011795,100.00%,1
Sollentuna,1012226,100.00%,1
Sierra Vista,1013487,100.00%,1
Berkeley,1013585,100.00%,1
Burlingame,1013623,100.00%,1
Danville,1013720,100.00%,2
Fremont,1013802,100.00%,1
Hemet,1013852,100.00%,1
La Quinta,1013916,100.00%,1
Lawndale,1013935,100.00%,1
Menlo Park,1014002,100.00%,1
Mission Viejo,1014017,100.00%,1
Morgan Hill,1014034,100.00%,1
Newport Beach,1014058,100.00%,1
Pleasant Hill,1014148,100.00%,1
San Leandro,1014229,100.00%,3
Santa Ana,1014247,100.00%,1
Sunnyvale,1014315,100.00%,1
Walnut Creek,1014377,100.00%,2
Glastonbury,1014733,100.00%,2
Hartford,1014743,100.00%,1
New Haven,1014778,100.00%,3
Waterbury,1014866,100.00%,1
Apopka,1014948,100.00%,1
Jacksonville,1015067,100.00%,1
Boise,1016131,100.00%,1
Buffalo Grove,1016327,100.00%,1
Glenview,1016503,100.00%,1
Gurnee,1016527,100.00%,1
Lake Zurich,1016609,100.00%,3
Skokie,1016851,100.00%,1
Fort Wayne,1017108,100.00%,1
Lawrence,1017537,100.00%,1
Hindman,1017793,100.00%,1
Belmont,1018118,100.00%,1
Maynard,1018294,100.00%,1
Quincy,1018372,100.00%,1
Stoneham,1018424,100.00%,1
Westwood,1018482,100.00%,1
Woburn,1018495,100.00%,1
