City,States,Users
Oregon,OR,418
California,CA,181
(not set),(not set),158
New York,NY,138
Texas,TX,103
Pennsylvania,PA,48
Wisconsin,WI,48
New Jersey,NJ,47
Illinois,IL,44
Ontario,ON,30
Virginia,VA,30
Maryland,MD,23
Florida,FL,22
Massachusetts,MA,21
Washington,WA,20
District of Columbia,DC,18
Ohio,OH,18
Colorado,CO,17
Michigan,MI,14
Quebec,QC,12
British Columbia,BC,11
Georgia,GA,10
Missouri,MO,10
Connecticut,CT,9
North Carolina,NC,9
Tennessee,TN,9
England,GB-ENG,8
Nevada,NV,7
Punjab,IN-PB,6
Stockholm County,SE-AB,6
Vienna,AT-9,5
Alberta,AB,5
Berlin,DE-BE,5
Ile-de-France,FR-IDF,5
Oklahoma,OK,5
North Rhine-Westphalia,DE-NW,4
Arizona,AZ,4
West Virginia,WV,4
New South Wales,AU-NSW,3
Rhineland-Palatinate,DE-RP,3
Istanbul,TR-34,3
New Hampshire,NH,3
Utah,UT,3
South Australia,AU-SA,2
Styria,AT-6,2
Nova Scotia,NS,2
Zurich,CH-ZH,2
Beijing,CN-11,2
Bavaria,DE-BY,2
Hesse,DE-HE,2
Catalonia,ES-CT,2
Budapest,HU-BU,2
Delhi,IN-DL,2
Karnataka,IN-KA,2
Federal Territory of Kuala Lumpur,MY-14,2
Delaware,DE,2
Indiana,IN,2
Nebraska,NE,2
Rhode Island,RI,2
Veneto,IT-34,2
Australian Capital Territory,AU-ACT,1
Queensland,AU-QLD,1
Victoria,AU-VIC,1
Brussels,BE-BRU,1
New Brunswick,NB,1
Geneva,CH-GE,1
Fujian,CN-35,1
Henan,CN-41,1
Saxony-Anhalt,DE-ST,1
Northern Ireland,GB-NIR,1
Scotland,GB-SCT,1
Wales,GB-WLS,1
Csongrad,HU-CS,1
Maharashtra,IN-MH,1
Rajasthan,IN-RJ,1
Tel Aviv District,IL-TA,1
Kanagawa,JP-14,1
Utrecht,NL-UT,1
South Holland,NL-ZH,1
Vestfold,NO-07,1
Porto District,PT-13,1
Bucharest,RO-B,1
Moscow,RU-MOW,1
Ostergotland County,SE-E,1
Kirovohrad Oblast,UA-35,1
Hawaii,HI,1
Iowa,IA,1
Idaho,ID,1
Kansas,KS,1
Kentucky,KY,1
Louisiana,LA,1
Minnesota,MN,1
North Dakota,ND,1
South Carolina,SC,1
Vermont,VT,1
